orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,49103,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ",IFPR,202110,9,5,14,2239,31
244,MINISTÉRIO DA EDUCAÇÃO,MEC,427,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,202110,13,52,65,6904,1
244,MINISTÉRIO DA EDUCAÇÃO,MEC,419,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,202110,7,61,68,5985,234
244,MINISTÉRIO DA EDUCAÇÃO,MEC,426,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,202110,47,19,66,12920,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,52702,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,202110,11,19,30,1950,54
244,MINISTÉRIO DA EDUCAÇÃO,MEC,461,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,202110,2,0,2,909,27
244,MINISTÉRIO DA EDUCAÇÃO,MEC,464,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,202110,8,2,10,5420,3
244,MINISTÉRIO DA EDUCAÇÃO,MEC,463,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,202110,4,0,4,1338,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,260,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,202110,12,41,53,2317,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,470,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,FUNDAÇÃO UNIVERSIDADE DE BRASÍLIA,UNB,202110,74,55,129,5720,194
244,MINISTÉRIO DA EDUCAÇÃO,MEC,474,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,202110,2,1,3,3247,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1734,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNREI,FUNDAÇÃO UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,FUNREI,202110,1,1,2,1367,7
244,MINISTÉRIO DA EDUCAÇÃO,MEC,84712,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,202110,3,40,43,1513,18
244,MINISTÉRIO DA EDUCAÇÃO,MEC,84703,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC,UFABC,202110,2,5,7,1501,33
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100913,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF-GOIANO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF-GOIANO,202110,2,2,4,1386,16
